TIC 500, version 3.230, S/N 831
, , , , W, W, V, V, V, K, , , , ,
4K, 1K, Cryostat, ENTROPY, HOben, HUnten, R1, R2, AIO3, AIO4, DIO, Relays, V1, V2, V3
02.08.2016 13:54:43,0.555268, 0.555903, 125936.0, 3812.980, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 2.384185e-5, -4.296875, 0.000000
02.08.2016 13:54:53,0.555522, 0.555906, 125858.8, 3817.831, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 2.384185e-5, -25.00000, 0.000000
02.08.2016 13:55:03,0.555786, 0.555910, 125884.1, 3812.930, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 2.682209e-5, 1.953125, 0.000000
02.08.2016 13:55:14,0.556059, 0.555913, 125899.1, 3810.595, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 2.682209e-5, 35.15625, 0.000000
02.08.2016 13:55:24,0.556367, 0.555917, 125814.3, 3808.343, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 2.980232e-5, -21.48437, 0.000000
02.08.2016 13:55:34,0.556659, 0.555921, 125847.1, 3800.379, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 2.980232e-5, 6.640625, 0.000000
02.08.2016 13:55:44,0.556958, 0.555924, 125861.3, 3797.343, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 2.980232e-5, -3.515625, 0.000000
02.08.2016 13:55:53,0.557235, 0.555928, 125836.1, 3788.349, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 2.980232e-5, -4.296875, 0.000000
02.08.2016 13:56:03,0.557550, 0.555933, 125841.0, 3805.200, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.278255e-5, -3.125000, 0.000000
02.08.2016 13:56:13,0.557874, 0.555938, 125870.8, 3814.940, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.278255e-5, -1.171875, 0.000000
02.08.2016 13:56:23,0.558206, 0.555942, 125931.6, 3808.511, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.278255e-5, -1.562500, 0.000000
02.08.2016 13:56:33,0.558547, 0.555946, 125927.8, 3811.365, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.576278e-5, -24.60937, 0.000000
02.08.2016 13:56:43,0.558895, 0.555952, 126015.0, 3808.272, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.576278e-5, 10.15625, 0.000000
02.08.2016 13:56:54,0.559288, 0.555957, 126009.2, 3803.965, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.576278e-5, 5.078125, 0.000000
02.08.2016 13:57:03,0.559616, 0.555963, 125977.9, 3802.363, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.576278e-5, 15.62500, 0.000000
02.08.2016 13:57:13,0.559988, 0.555967, 126058.2, 3806.532, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.576278e-5, 8.984375, 0.000000
02.08.2016 13:57:24,0.560408, 0.555974, 125944.5, 3804.019, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.874301e-5, -3.906250, 0.000000
02.08.2016 13:57:33,0.560756, 0.555978, 125869.3, 3812.822, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.874301e-5, -19.92187, 0.000000
02.08.2016 13:57:43,0.561151, 0.555984, 125834.3, 3812.172, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.874301e-5, 16.01562, 0.000000
02.08.2016 13:57:53,0.561554, 0.555990, 125819.5, 3809.777, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.172325e-5, 0.000000, 0.000000
02.08.2016 13:58:04,0.562007, 0.555997, 125739.8, 3810.793, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.172325e-5, -17.18750, 0.000000
02.08.2016 13:58:13,0.562385, 0.556003, 125858.8, 3798.865, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.172325e-5, 11.32812, 0.000000
02.08.2016 13:58:23,0.562812, 0.556010, 125855.1, 3807.332, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.172325e-5, 8.203125, 0.000000
02.08.2016 13:58:33,0.563247, 0.556017, 125884.3, 3804.453, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.470347e-5, 1.171875, 0.000000
02.08.2016 13:58:43,0.563693, 0.556024, 125824.7, 3798.773, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.470347e-5, -20.70312, 0.000000
02.08.2016 13:58:53,0.564153, 0.556031, 125869.9, 3801.386, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.768371e-5, -9.765625, 0.000000
02.08.2016 13:59:03,0.564626, 0.556039, 125930.7, 3799.918, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.768371e-5, 19.53125, 0.000000
02.08.2016 13:59:14,0.565155, 0.556047, 125859.6, 3803.386, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.768371e-5, 21.48437, 0.000000
